Country Name,Country Code,2019 [YR2019]
Austria,AUT,60720
Belgium,BEL,57050
Bulgaria,BGR,24900
Croatia,HRV,30660
Cyprus,CYP,39830
Czech Republic,CZE,41570
Denmark,DNK,63920
Estonia,EST,39080
Finland,FIN,53430
France,FRA,52050
Germany,DEU,59090
Greece,GRC,31540
Hungary,HUN,34020
Ireland,IRL,71150
Italy,ITA,46110
Latvia,LVA,32550
Lithuania,LTU,38630
Luxembourg,LUX,79670
Malta,MLT,43970
Netherlands,NLD,61520
Poland,POL,33770
Portugal,PRT,37040
Romania,ROU,32860
Slovenia,SVN,41750
Slovak Republic,SVK,32920
Sweden,SWE,58060
Spain,ESP,43560